datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,DAY,1446.6
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,DAY,1414.0
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,DAY,1387.1
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,DAY,1378.5
1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,DAY,1394.5
1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,DAY,1430.0
1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,DAY,1475.7
1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,DAY,1525.3
1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,DAY,1575.2
1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,DAY,1639.4
1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,DAY,1713.2
1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,DAY,1761.9
1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,DAY,1792.3
1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,DAY,1796.3
1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,DAY,1797.2
1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,DAY,1800.4
1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,DAY,1828.7
1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,DAY,1904.2
1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,DAY,1900.8
1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,DAY,1873.7
1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,DAY,1837.5
1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,DAY,1801.5
1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,1/2/2019 4:00:00 AM,1/1/2019 11:00:00 PM,DAY,1736.2
1/2/2019 4:00:00 AM,1/1/2019 11:00:00 PM,1/2/2019 5:00:00 AM,1/2/2019 12:00:00 AM,DAY,1678.3
1/2/2019 5:00:00 AM,1/2/2019 12:00:00 AM,1/2/2019 6:00:00 AM,1/2/2019 1:00:00 AM,DAY,1639.2
1/2/2019 6:00:00 AM,1/2/2019 1:00:00 AM,1/2/2019 7:00:00 AM,1/2/2019 2:00:00 AM,DAY,1613.4
1/2/2019 7:00:00 AM,1/2/2019 2:00:00 AM,1/2/2019 8:00:00 AM,1/2/2019 3:00:00 AM,DAY,1609.9
1/2/2019 8:00:00 AM,1/2/2019 3:00:00 AM,1/2/2019 9:00:00 AM,1/2/2019 4:00:00 AM,DAY,1616.8
1/2/2019 9:00:00 AM,1/2/2019 4:00:00 AM,1/2/2019 10:00:00 AM,1/2/2019 5:00:00 AM,DAY,1659.3
1/2/2019 10:00:00 AM,1/2/2019 5:00:00 AM,1/2/2019 11:00:00 AM,1/2/2019 6:00:00 AM,DAY,1785.6
1/2/2019 11:00:00 AM,1/2/2019 6:00:00 AM,1/2/2019 12:00:00 PM,1/2/2019 7:00:00 AM,DAY,1962.6
1/2/2019 12:00:00 PM,1/2/2019 7:00:00 AM,1/2/2019 1:00:00 PM,1/2/2019 8:00:00 AM,DAY,2118.9
1/2/2019 1:00:00 PM,1/2/2019 8:00:00 AM,1/2/2019 2:00:00 PM,1/2/2019 9:00:00 AM,DAY,2165.8
1/2/2019 2:00:00 PM,1/2/2019 9:00:00 AM,1/2/2019 3:00:00 PM,1/2/2019 10:00:00 AM,DAY,2193.1
1/2/2019 3:00:00 PM,1/2/2019 10:00:00 AM,1/2/2019 4:00:00 PM,1/2/2019 11:00:00 AM,DAY,2231.0
1/2/2019 4:00:00 PM,1/2/2019 11:00:00 AM,1/2/2019 5:00:00 PM,1/2/2019 12:00:00 PM,DAY,2236.7
1/2/2019 5:00:00 PM,1/2/2019 12:00:00 PM,1/2/2019 6:00:00 PM,1/2/2019 1:00:00 PM,DAY,2238.7
1/2/2019 6:00:00 PM,1/2/2019 1:00:00 PM,1/2/2019 7:00:00 PM,1/2/2019 2:00:00 PM,DAY,2234.7
1/2/2019 7:00:00 PM,1/2/2019 2:00:00 PM,1/2/2019 8:00:00 PM,1/2/2019 3:00:00 PM,DAY,2221.4
1/2/2019 8:00:00 PM,1/2/2019 3:00:00 PM,1/2/2019 9:00:00 PM,1/2/2019 4:00:00 PM,DAY,2201.5
1/2/2019 9:00:00 PM,1/2/2019 4:00:00 PM,1/2/2019 10:00:00 PM,1/2/2019 5:00:00 PM,DAY,2219.4
1/2/2019 10:00:00 PM,1/2/2019 5:00:00 PM,1/2/2019 11:00:00 PM,1/2/2019 6:00:00 PM,DAY,2305.6
1/2/2019 11:00:00 PM,1/2/2019 6:00:00 PM,1/3/2019 12:00:00 AM,1/2/2019 7:00:00 PM,DAY,2319.5
1/3/2019 12:00:00 AM,1/2/2019 7:00:00 PM,1/3/2019 1:00:00 AM,1/2/2019 8:00:00 PM,DAY,2283.6
1/3/2019 1:00:00 AM,1/2/2019 8:00:00 PM,1/3/2019 2:00:00 AM,1/2/2019 9:00:00 PM,DAY,2241.1
1/3/2019 2:00:00 AM,1/2/2019 9:00:00 PM,1/3/2019 3:00:00 AM,1/2/2019 10:00:00 PM,DAY,2172.7
1/3/2019 3:00:00 AM,1/2/2019 10:00:00 PM,1/3/2019 4:00:00 AM,1/2/2019 11:00:00 PM,DAY,2073.1
1/3/2019 4:00:00 AM,1/2/2019 11:00:00 PM,1/3/2019 5:00:00 AM,1/3/2019 12:00:00 AM,DAY,1966.1
1/3/2019 5:00:00 AM,1/3/2019 12:00:00 AM,1/3/2019 6:00:00 AM,1/3/2019 1:00:00 AM,DAY,1903.1
1/3/2019 6:00:00 AM,1/3/2019 1:00:00 AM,1/3/2019 7:00:00 AM,1/3/2019 2:00:00 AM,DAY,1855.7
1/3/2019 7:00:00 AM,1/3/2019 2:00:00 AM,1/3/2019 8:00:00 AM,1/3/2019 3:00:00 AM,DAY,1820.8
1/3/2019 8:00:00 AM,1/3/2019 3:00:00 AM,1/3/2019 9:00:00 AM,1/3/2019 4:00:00 AM,DAY,1814.3
1/3/2019 9:00:00 AM,1/3/2019 4:00:00 AM,1/3/2019 10:00:00 AM,1/3/2019 5:00:00 AM,DAY,1849.2
1/3/2019 10:00:00 AM,1/3/2019 5:00:00 AM,1/3/2019 11:00:00 AM,1/3/2019 6:00:00 AM,DAY,1959.4
1/3/2019 11:00:00 AM,1/3/2019 6:00:00 AM,1/3/2019 12:00:00 PM,1/3/2019 7:00:00 AM,DAY,2136.6
1/3/2019 12:00:00 PM,1/3/2019 7:00:00 AM,1/3/2019 1:00:00 PM,1/3/2019 8:00:00 AM,DAY,2272.5
1/3/2019 1:00:00 PM,1/3/2019 8:00:00 AM,1/3/2019 2:00:00 PM,1/3/2019 9:00:00 AM,DAY,2308.2
1/3/2019 2:00:00 PM,1/3/2019 9:00:00 AM,1/3/2019 3:00:00 PM,1/3/2019 10:00:00 AM,DAY,2311.3
1/3/2019 3:00:00 PM,1/3/2019 10:00:00 AM,1/3/2019 4:00:00 PM,1/3/2019 11:00:00 AM,DAY,2326.9
1/3/2019 4:00:00 PM,1/3/2019 11:00:00 AM,1/3/2019 5:00:00 PM,1/3/2019 12:00:00 PM,DAY,2289.4
1/3/2019 5:00:00 PM,1/3/2019 12:00:00 PM,1/3/2019 6:00:00 PM,1/3/2019 1:00:00 PM,DAY,2255.7
1/3/2019 6:00:00 PM,1/3/2019 1:00:00 PM,1/3/2019 7:00:00 PM,1/3/2019 2:00:00 PM,DAY,2206.0
1/3/2019 7:00:00 PM,1/3/2019 2:00:00 PM,1/3/2019 8:00:00 PM,1/3/2019 3:00:00 PM,DAY,2157.4
1/3/2019 8:00:00 PM,1/3/2019 3:00:00 PM,1/3/2019 9:00:00 PM,1/3/2019 4:00:00 PM,DAY,2115.2
1/3/2019 9:00:00 PM,1/3/2019 4:00:00 PM,1/3/2019 10:00:00 PM,1/3/2019 5:00:00 PM,DAY,2140.4
1/3/2019 10:00:00 PM,1/3/2019 5:00:00 PM,1/3/2019 11:00:00 PM,1/3/2019 6:00:00 PM,DAY,2261.8
1/3/2019 11:00:00 PM,1/3/2019 6:00:00 PM,1/4/2019 12:00:00 AM,1/3/2019 7:00:00 PM,DAY,2335.2
1/4/2019 12:00:00 AM,1/3/2019 7:00:00 PM,1/4/2019 1:00:00 AM,1/3/2019 8:00:00 PM,DAY,2322.4
1/4/2019 1:00:00 AM,1/3/2019 8:00:00 PM,1/4/2019 2:00:00 AM,1/3/2019 9:00:00 PM,DAY,2295.4
1/4/2019 2:00:00 AM,1/3/2019 9:00:00 PM,1/4/2019 3:00:00 AM,1/3/2019 10:00:00 PM,DAY,2236.8
1/4/2019 3:00:00 AM,1/3/2019 10:00:00 PM,1/4/2019 4:00:00 AM,1/3/2019 11:00:00 PM,DAY,2136.2
1/4/2019 4:00:00 AM,1/3/2019 11:00:00 PM,1/4/2019 5:00:00 AM,1/4/2019 12:00:00 AM,DAY,2037.9
1/4/2019 5:00:00 AM,1/4/2019 12:00:00 AM,1/4/2019 6:00:00 AM,1/4/2019 1:00:00 AM,DAY,1965.8
1/4/2019 6:00:00 AM,1/4/2019 1:00:00 AM,1/4/2019 7:00:00 AM,1/4/2019 2:00:00 AM,DAY,1916.7
1/4/2019 7:00:00 AM,1/4/2019 2:00:00 AM,1/4/2019 8:00:00 AM,1/4/2019 3:00:00 AM,DAY,1887.9
1/4/2019 8:00:00 AM,1/4/2019 3:00:00 AM,1/4/2019 9:00:00 AM,1/4/2019 4:00:00 AM,DAY,1880.0
1/4/2019 9:00:00 AM,1/4/2019 4:00:00 AM,1/4/2019 10:00:00 AM,1/4/2019 5:00:00 AM,DAY,1916.5
